title,author,length
Mark of the Fool 5,By: J.M. Clarke,Length: 18 hrs and 30 mins
Tower of Silence,By: Larry Correia,Length: 16 hrs and 1 min
Road of Skulls,By: Josh Reynolds,Length: 12 hrs and 18 mins
Now's the Time,By: Harlow James,Length: 9 hrs and 40 mins
The Case of the Case of Kilcladdich,By: PJ Fitzsimmons,Length: 6 hrs and 6 mins
The Revenge Agenda,By: Saxon James,Length: 6 hrs and 41 mins
Valdemar,By: Mercedes Lackey,Length: 16 hrs
The Witch of Webs,By: pirateaba,Length: 47 hrs and 18 mins
Dragonfired,By: J. Zachary Pike,Length: 22 hrs and 9 mins
On the Same Page,By: Haley Cass,Length: 16 hrs and 18 mins
"Live, Love, Spy",By: Lexi Blake,Length: 15 hrs and 11 mins
Wings of Snow,By: Krista Street,Length: 9 hrs and 52 mins
Jake's Magical Market 3,By: J.R. Mathews,Length: 35 hrs
The Mirror,By: Nora Roberts,Length: 14 hrs and 24 mins
Wind and Truth,By: Brandon Sanderson,Length: 40 hrs
Raising Mentally Strong Kids,"By: Daniel G. Amen M.D., Charles Fay Ph.D",Length: 11 hrs and 17 mins
Just a Bit Wrecked,By: Alessandra Hazard,Length: 5 hrs and 50 mins
Own Me,By: K. A. Tucker,Length: 9 hrs and 23 mins
David Baldacci November 2024,By: David Baldacci,Length: 12 hrs
Monsters Mayhem & Misfits 2,"By: Jack Spry, Marcus Sloss",Length: 11 hrs and 57 mins
