title,author,length
Tower of Silence,By: Larry Correia,Length: 16 hrs and 1 min
Mark of the Fool 5,By: J.M. Clarke,Length: 18 hrs and 30 mins
Valdemar,By: Mercedes Lackey,Length: 16 hrs
The Revenge Agenda,By: Saxon James,Length: 6 hrs and 41 mins
The Witch of Webs,By: pirateaba,Length: 47 hrs and 18 mins
Road of Skulls,By: Josh Reynolds,Length: 12 hrs and 18 mins
Taking Up Space,By: Karen S. Lynch,Length: 4 hrs and 26 mins
Dragonfired,By: J. Zachary Pike,Length: 22 hrs and 9 mins
On the Same Page,By: Haley Cass,Length: 16 hrs and 18 mins
The Mirror,By: Nora Roberts,Length: 14 hrs and 24 mins
Swamp Spies,By: Jana DeLeon,Length: Not Yet Known
"Live, Love, Spy",By: Lexi Blake,Length: 15 hrs and 11 mins
The Songbird and the Heart of Stone,By: Carissa Broadbent,Length: 15 hrs and 33 mins
David Baldacci November 2024,By: David Baldacci,Length: 12 hrs
Jake's Magical Market 3,By: J.R. Mathews,Length: 35 hrs
Wind and Truth,By: Brandon Sanderson,Length: 40 hrs
Raising Mentally Strong Kids,"By: Daniel G. Amen M.D., Charles Fay Ph.D",Length: 11 hrs and 17 mins
Own Me,By: K. A. Tucker,Length: 9 hrs and 23 mins
Monsters Mayhem & Misfits 2,"By: Jack Spry, Marcus Sloss",Length: 11 hrs and 57 mins
The Wanted,"By: Jason Anspach, Nick Cole",Length: 13 hrs and 1 min
