title,author,length
1. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
2. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
3. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
4. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
5. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
6. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
7. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
8. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
9. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
10. Penelope in Retrograde,By: Brooke Abrams,Length: 7 hrs and 46 mins
11. Dune Messiah,By: Frank Herbert,Length: 8 hrs and 57 mins
12. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
13. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
14. The Little Liar,By: Mitch Albom,Length: 7 hrs and 40 mins
15. Listen for the Lie,By: Amy Tintera,Length: 9 hrs and 18 mins
16. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
17. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
18. Hidden Potential,By: Adam Grant,Length: 7 hrs and 21 mins
19. Get It Together,By: Jesse Watters,Length: 11 hrs and 32 mins
20. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
21. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
22. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
23. House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
24. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
25. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
26. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
